qualifying_groups,m75,m78,m79,m80,m81,m82,m85,m88
"A,C,D,F,G,H,J,K",3C,3F,3H,3K,3A,3J,3G,3D
"A,C,D,F,G,H,I,L",3C,3D,3H,3I,3A,3F,3G,3L
"A,C,D,F,G,H,I,K",3C,3D,3H,3K,3A,3F,3G,3I
"A,C,D,F,G,H,I,J",3C,3F,3H,3I,3A,3J,3G,3D
"A,C,D,E,I,J,K,L",3C,3D,3E,3K,3A,3I,3J,3L
"A,C,D,E,H,J,K,L",3C,3D,3H,3K,3A,3E,3J,3L
"A,C,D,E,H,I,K,L",3C,3D,3H,3K,3A,3I,3E,3L
"A,C,D,E,H,I,J,L",3C,3D,3H,3I,3A,3E,3J,3L
"A,C,D,E,H,I,J,K",3C,3D,3H,3K,3A,3E,3J,3I
"A,C,D,E,G,J,K,L",3C,3D,3E,3K,3A,3J,3G,3L
"A,C,D,E,G,I,K,L",3C,3D,3E,3K,3A,3I,3G,3L
"A,C,D,E,G,I,J,L",3C,3D,3E,3I,3A,3J,3G,3L
"A,C,D,E,G,I,J,K",3C,3D,3E,3K,3A,3J,3G,3I
"A,C,D,E,G,H,K,L",3C,3D,3H,3K,3A,3E,3G,3L
"A,C,D,E,G,H,J,L",3C,3D,3H,3E,3A,3J,3G,3L
"A,C,D,E,G,H,J,K",3C,3D,3H,3K,3A,3J,3G,3E
"A,C,D,E,G,H,I,L",3C,3D,3H,3I,3A,3E,3G,3L
"A,C,D,E,G,H,I,K",3C,3D,3H,3K,3A,3E,3G,3I
"A,C,D,E,G,H,I,J",3C,3D,3H,3I,3A,3J,3G,3E
"A,C,D,E,F,J,K,L",3D,3F,3C,3K,3A,3E,3J,3L
"A,C,D,E,F,I,K,L",3D,3F,3C,3K,3A,3I,3E,3L
"A,C,D,E,F,I,J,L",3D,3F,3C,3I,3A,3E,3J,3L
"A,C,D,E,F,I,J,K",3D,3F,3C,3K,3A,3E,3J,3I
"A,C,D,E,F,H,K,L",3C,3D,3H,3K,3A,3F,3E,3L
"A,C,D,E,F,H,J,L",3C,3D,3H,3E,3A,3F,3J,3L
"A,C,D,E,F,H,J,K",3C,3F,3H,3K,3A,3E,3J,3D
"A,C,D,E,F,H,I,L",3C,3D,3H,3I,3A,3F,3E,3L
"A,C,D,E,F,H,I,K",3C,3D,3H,3K,3A,3F,3E,3I
"A,C,D,E,F,H,I,J",3C,3F,3H,3I,3A,3E,3J,3D
"A,C,D,E,F,G,K,L",3D,3F,3C,3K,3A,3E,3G,3L
"A,C,D,E,F,G,J,L",3D,3F,3C,3E,3A,3J,3G,3L
"A,C,D,E,F,G,J,K",3D,3F,3C,3K,3A,3J,3G,3E
"A,C,D,E,F,G,I,L",3D,3F,3C,3I,3A,3E,3G,3L
"A,C,D,E,F,G,I,K",3D,3F,3C,3K,3A,3E,3G,3I
"A,C,D,E,F,G,I,J",3D,3F,3C,3I,3A,3J,3G,3E
"A,C,D,E,F,G,H,L",3C,3D,3H,3E,3A,3F,3G,3L
"A,C,D,E,F,G,H,K",3C,3F,3H,3K,3A,3E,3G,3D
"A,C,D,E,F,G,H,J",3C,3F,3H,3E,3A,3J,3G,3D
"A,C,D,E,F,G,H,I",3C,3F,3H,3I,3A,3E,3G,3D
"A,B,G,H,I,J,K,L",3A,3G,3H,3K,3I,3B,3J,3L
"A,B,F,H,I,J,K,L",3A,3F,3H,3K,3I,3B,3J,3L
"A,B,F,G,I,J,K,L",3F,3G,3I,3K,3A,3B,3J,3L
"A,B,F,G,H,J,K,L",3F,3G,3H,3K,3A,3B,3J,3L
"A,B,F,G,H,I,K,L",3A,3F,3H,3K,3I,3B,3G,3L
"A,B,F,G,H,I,J,L",3F,3G,3H,3I,3A,3B,3J,3L
"A,B,F,G,H,I,J,K",3F,3G,3H,3K,3A,3B,3J,3I
"A,B,E,H,I,J,K,L",3A,3H,3E,3K,3I,3B,3J,3L
"A,B,E,G,I,J,K,L",3A,3G,3E,3K,3I,3B,3J,3L
"A,B,E,G,H,J,K,L",3A,3G,3E,3K,3H,3B,3J,3L
"A,B,E,G,H,I,K,L",3A,3H,3E,3K,3I,3B,3G,3L
"A,B,E,G,H,I,J,L",3A,3G,3E,3I,3H,3B,3J,3L
"A,B,E,G,H,I,J,K",3A,3G,3E,3K,3H,3B,3J,3I
"A,B,E,F,I,J,K,L",3A,3F,3E,3K,3I,3B,3J,3L
"A,B,E,F,H,J,K,L",3F,3H,3E,3K,3A,3B,3J,3L
"A,B,E,F,H,I,K,L",3F,3H,3E,3K,3A,3B,3I,3L
"A,B,E,F,H,I,J,L",3F,3H,3E,3I,3A,3B,3J,3L
"A,B,E,F,H,I,J,K",3F,3H,3E,3K,3A,3B,3J,3I
"A,B,E,F,G,J,K,L",3F,3G,3E,3K,3A,3B,3J,3L
"A,B,E,F,G,I,K,L",3A,3F,3E,3K,3I,3B,3G,3L
"A,B,E,F,G,I,J,L",3F,3G,3E,3I,3A,3B,3J,3L
"A,B,E,F,G,I,J,K",3F,3G,3E,3K,3A,3B,3J,3I
"A,B,E,F,G,H,K,L",3F,3H,3E,3K,3A,3B,3G,3L
"A,B,E,F,G,H,J,L",3F,3G,3H,3E,3A,3B,3J,3L
"A,B,E,F,G,H,J,K",3F,3G,3H,3K,3A,3B,3J,3E
"A,B,E,F,G,H,I,L",3F,3H,3E,3I,3A,3B,3G,3L
"A,B,E,F,G,H,I,K",3F,3H,3E,3K,3A,3B,3G,3I
"A,B,E,F,G,H,I,J",3F,3G,3H,3I,3A,3B,3J,3E
"A,B,D,H,I,J,K,L",3D,3H,3I,3K,3A,3B,3J,3L
"A,B,D,G,I,J,K,L",3D,3G,3I,3K,3A,3B,3J,3L
"A,B,D,G,H,J,K,L",3D,3G,3H,3K,3A,3B,3J,3L
"A,B,D,G,H,I,K,L",3D,3H,3I,3K,3A,3B,3G,3L
"A,B,D,G,H,I,J,L",3D,3G,3H,3I,3A,3B,3J,3L
"A,B,D,G,H,I,J,K",3D,3G,3H,3K,3A,3B,3J,3I
"A,B,D,F,I,J,K,L",3D,3F,3I,3K,3A,3B,3J,3L
"A,B,D,F,H,J,K,L",3D,3F,3H,3K,3A,3B,3J,3L
"A,B,D,F,H,I,K,L",3D,3F,3H,3K,3A,3B,3I,3L
"A,B,D,F,H,I,J,L",3D,3F,3H,3I,3A,3B,3J,3L
"A,B,D,F,H,I,J,K",3D,3F,3H,3K,3A,3B,3J,3I
"A,B,D,F,G,J,K,L",3D,3G,3F,3K,3A,3B,3J,3L
"A,B,D,F,G,I,K,L",3D,3F,3I,3K,3A,3B,3G,3L
"A,B,D,F,G,I,J,L",3D,3G,3F,3I,3A,3B,3J,3L
"A,B,D,F,G,I,J,K",3D,3G,3F,3K,3A,3B,3J,3I
"A,B,D,F,G,H,K,L",3D,3F,3H,3K,3A,3B,3G,3L
"A,B,D,F,G,H,J,L",3D,3F,3H,3J,3A,3B,3G,3L
"A,B,D,F,G,H,J,K",3D,3F,3H,3K,3A,3B,3G,3J
"A,B,D,F,G,H,I,L",3D,3F,3H,3I,3A,3B,3G,3L
"A,B,D,F,G,H,I,K",3D,3F,3H,3K,3A,3B,3G,3I
"A,B,D,F,G,H,I,J",3D,3F,3H,3J,3A,3B,3G,3I
"A,B,D,E,I,J,K,L",3A,3D,3E,3K,3I,3B,3J,3L
